[0, 36]
  k  
 [17, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 80.64516129006243, 'Specificity': 39.9999999996, 'Recall': 96.15384615347634, 'F1': 87.71929824525665, 'Miss_Rate': 0.03846153846139053, 'Accuracy_Balance': 68.07692307653816, 'Mathew_Correlation': 0.46824735250351424, 'Matrix': (25, 6, 1, 4)}]
 [19, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 80.64516129006243, 'Specificity': 39.9999999996, 'Recall': 96.15384615347634, 'F1': 87.71929824525665, 'Miss_Rate': 0.03846153846139053, 'Accuracy_Balance': 68.07692307653816, 'Mathew_Correlation': 0.46824735250351424, 'Matrix': (25, 6, 1, 4)}]
[74, 110]
 [1, 99.99999999972222, {'Accuracy': 99.99999999972222, 'Precision': 99.99999999965517, 'Specificity': 99.99999999857143, 'Recall': 99.99999999965517, 'F1': 99.99999999960518, 'Miss_Rate': 0.0, 'Accuracy_Balance': 99.9999999991133, 'Mathew_Correlation': 0.9999999999999988, 'Matrix': (29, 0, 0, 7)}]
 [3, 91.66666666641203, {'Accuracy': 91.66666666641203, 'Precision': 93.33333333302222, 'Specificity': 71.42857142755102, 'Recall': 96.5517241375981, 'F1': 94.91525423691643, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 83.99014778257455, 'Mathew_Correlation': 0.7219295436604952, 'Matrix': (28, 2, 1, 5)}]
 [5, 86.1111111108719, {'Accuracy': 86.1111111108719, 'Precision': 87.49999999972657, 'Specificity': 42.85714285653061, 'Recall': 96.5517241375981, 'F1': 91.80327868817373, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 69.70443349706436, 'Mathew_Correlation': 0.49629166698546423, 'Matrix': (28, 4, 1, 3)}]
 [7, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 84.84848484822773, 'Specificity': 28.57142857102041, 'Recall': 96.5517241375981, 'F1': 90.32258064482015, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 62.56157635430925, 'Mathew_Correlation': 0.35975311233691126, 'Matrix': (28, 5, 1, 2)}]
 [9, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 84.84848484822773, 'Specificity': 28.57142857102041, 'Recall': 96.5517241375981, 'F1': 90.32258064482015, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 62.56157635430925, 'Mathew_Correlation': 0.35975311233691126, 'Matrix': (28, 5, 1, 2)}]
 [11, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 84.84848484822773, 'Specificity': 28.57142857102041, 'Recall': 96.5517241375981, 'F1': 90.32258064482015, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 62.56157635430925, 'Mathew_Correlation': 0.35975311233691126, 'Matrix': (28, 5, 1, 2)}]
 [13, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 84.84848484822773, 'Specificity': 28.57142857102041, 'Recall': 96.5517241375981, 'F1': 90.32258064482015, 'Miss_Rate': 0.03448275862057075, 'Accuracy_Balance': 62.56157635430925, 'Mathew_Correlation': 0.35975311233691126, 'Matrix': (28, 5, 1, 2)}]
